Date,Open
40179,10430.69043
40186,10606.40039
40200,10389.58008
40207,10122.04004
40214,10003.69043
40221,10137.23047
40228,10387.76953
40249,10611.76953
40256,10780.0
40263,10841.29004
40270,10927.4502
40277,10926.91992
40291,11132.17969
40312,10780.67969
40326,10258.0
40333,10249.61035
40340,10166.780270000001
40361,9732.530273
40375,10356.2002
40382,10321.16016
40410,10270.98047
40424,10321.91992
40431,10415.00977
40438,10595.549809999999
40445,10664.38965
40466,11096.00977
40473,11146.41016
40480,11120.4502
40515,11361.87988
40522,11370.05957
40529,11499.01953
40543,11569.33008
40557,11732.12988
40571,11990.36035
40578,12061.73047
40585,12227.780270000001
40592,12318.66992
40599,12060.92969
40620,11777.23047
40634,12321.01953
40641,12409.87012
40655,12505.99023
40662,12763.45996
40669,12580.75977
40676,12695.65039
40683,12604.719729999999
40704,12124.16992
40711,11962.66016
40718,12049.24023
40725,12414.33984
40732,12717.90039
40739,12437.12012
40753,12239.36035
40760,11383.98047
40774,10989.75
40788,11492.05957
40795,11294.59961
40802,11433.70996
40823,11123.41016
40830,11478.969729999999
40851,12043.41016
40872,11251.87988
40879,12022.37012
40893,11870.25
40900,12169.87988
40907,12286.280270000001
40928,12623.83008
40942,12705.04004
40949,12889.549809999999
40956,12903.33008
40963,12981.2002
40970,12980.75
40984,13253.50977
40998,13147.94043
41005,13057.57031
41019,12964.48047
41026,13204.7002
41033,13204.62012
41040,12851.79004
41047,12443.01953
41054,12530.74023
41061,12391.55957
41068,12460.80957
41075,12652.20996
41082,12574.82031
41089,12604.59961
41096,12889.40039
41117,12888.91016
41124,12884.82031
41138,13251.2002
41145,13052.82031
41152,13002.719729999999
41159,13289.530270000001
41166,13540.40039
41173,13597.240230000001
41180,13485.88965
41187,13569.17969
41201,13545.330080000002
41215,13232.62012
41236,12833.12988
41243,13022.049809999999
41250,13072.87012
41271,13095.08008
41285,13471.4502
41299,13825.330080000002
41306,13860.580080000002
41313,13944.049809999999
41320,13973.38965
41327,13880.62012
41334,14054.490230000001
41348,14539.13965
41362,14578.54004
41383,14537.13965
41390,14700.799809999999
41397,14831.580080000002
41404,15082.62012
41411,15234.75
41418,15290.740230000001
41425,15322.21973
41432,15044.45996
41439,15178.080080000002
41446,14760.62012
41453,15016.580080000002
41467,15460.69043
41481,15547.84961
41488,15627.55957
41495,15496.62988
41523,14941.549809999999
41530,15312.86035
41537,15635.08984
41544,15317.4502
41558,15126.519530000001
41572,15523.71973
41586,15591.54004
41600,16008.70996
41628,16178.57031
41635,16486.36914
41642,16456.89063
41649,16453.61914
41670,15847.19043
41677,15630.63965
41691,16135.919919999998
41705,16424.5293
41719,16332.69043
41733,16576.01953
41740,16168.87012
41747,16408.91992
41754,16503.25977
41768,16551.23047
41775,16447.32031
41796,16839.64063
41803,16734.64063
41810,16920.61914
41817,16846.90039
41824,17063.83008
41845,17079.5
41852,16561.69922
41887,17065.89063
41894,17044.05078
41901,17267.21094
41908,16948.61914
41915,16802.19922
41922,16654.88086
41929,16118.38965
41936,16677.03906
41943,17208.7793
41950,17558.58008
41957,17653.10938
41964,17721.01953
41992,17778.01953
41999,18038.30078
42006,17823.07031
42013,17911.01953
42027,17812.5
42034,17416.84961
42048,17968.65039
42055,17985.76953
42076,17889.05078
42090,17673.63086
42097,17755.5
42104,17956.73047
42118,18056.41992
42125,17859.26953
42132,17933.64063
42146,18286.86914
42153,18128.11914
42160,17905.38086
42167,18035.83008
42174,18116.24023
42188,17728.08008
42195,17561.11914
42202,18117.58008
42223,17414.93945
