Date,Open,High,Low,Close,Adj Close,Volume
41362,14578.54004,14684.49023,14525.36035,14606.11035,14606.11035,421750000
41369,14606.11035,14887.50977,14434.42969,14865.13965,14865.13965,631600000
41376,14865.13965,14865.20996,14495.29004,14537.13965,14537.13965,733630000
41383,14537.13965,14768.04981,14444.03027,14700.79981,14700.79981,759030000
41390,14700.79981,14844.95996,14684.82031,14831.58008,14831.58008,578020000
41397,14831.58008,15144.83008,14831.58008,15082.62012,15082.62012,564600000
41404,15082.62012,15302.49023,15038.17969,15233.21973,15233.21973,586970000
41411,15234.75,15542.40039,15180.23047,15294.5,15294.5,735800000
41418,15290.74023,15521.49023,15199.62988,15324.53027,15324.53027,471510000
41425,15322.21973,15392.37988,14844.21973,15040.62012,15040.62012,772900000
41432,15044.45996,15300.63965,14953.4502,15176.08008,15176.08008,543500000
41439,15178.08008,15340.08984,14732.03027,14758.32031,14758.32031,629900000
41446,14760.62012,15075.00977,14551.26953,15024.49023,15024.49023,961570000
41453,15016.58008,15083.28027,14858.92969,14988.37012,14988.37012,528180000
41460,14995.45996,15483.54981,14971.2002,15460.91992,15460.91992,570650000
41467,15460.69043,15589.40039,15410.26953,15548.54004,15548.54004,598050000
41474,15524.26953,15604.21973,15455.58984,15555.61035,15555.61035,711460000
41481,15547.84961,15650.69043,15405.16016,15628.01953,15628.01953,555830000
41488,15627.55957,15658.42969,15418.59961,15498.32031,15498.32031,448840000
41495,15496.62988,15507.75977,15094.03027,15112.19043,15112.19043,463400000
41502,15112.57031,15139.76953,14880.83984,14963.74023,14963.74023,617450000
41509,14988.78027,15049.98047,14760.41016,14840.9502,14840.9502,551080000
41516,14844.09961,14987.46973,14762.34961,14937.48047,14937.48047,501540000
41523,14941.54981,15345.32031,14789.40039,15300.63965,15300.63965,504120000
41530,15312.86035,15709.58008,15312.86035,15636.54981,15636.54981,562800000
41537,15635.08984,15654.76953,15253.16016,15328.29981,15328.29981,720940000
41544,15317.4502,15317.4502,14947.03027,14996.48047,14996.48047,477840000
41551,14994.67969,15126.07031,14719.42969,15126.07031,15126.07031,467140000
41558,15126.51953,15376.11035,15100.12988,15371.65039,15371.65039,459930000
41565,15371.70996,15528.62988,15321.80957,15509.20996,15509.20996,537220000
41572,15523.71973,15721,15512.95996,15545.75,15545.75,482480000
41579,15558.00977,15797.67969,15522.17969,15593.98047,15593.98047,477980000
41586,15591.54004,15884.99023,15579.34961,15876.21973,15876.21973,455630000
41593,15876.16016,16030.28027,15865.37012,16009.99023,16009.99023,469240000
41600,16008.70996,16120.25,15976.26953,16097.33008,16097.33008,348220000
41607,16105.16016,16174.50977,15791.29004,15821.50977,15821.50977,504950000
41614,15825.54981,16058.40039,15703.79004,15739.42969,15739.42969,482530000
41621,15745.66016,16194.71973,15717.91992,16179.08008,16179.08008,510740000
41628,16178.57031,16483,16178.57031,16479.88086,16479.88086,447920000
41635,16486.36914,16588.25,16416.49023,16441.34961,16441.34961,261170000
41642,16456.89063,16562.32031,16378.61035,16444.75977,16444.75977,430670000
41649,16453.61914,16505.2793,16240.59961,16417.00977,16417.00977,483980000
41656,16408.01953,16520.59961,16140.58008,16197.34961,16197.34961,484550000
41663,16203.29004,16203.29004,15708.98047,15848.61035,15848.61035,559790000
41670,15847.19043,15847.19043,15340.69043,15628.53027,15628.53027,624360000
41677,15630.63965,16039.37012,15625.53027,16027.58984,16027.58984,462600000
41684,16018.08008,16225.71973,15985.38965,16133.23047,16133.23047,333590000
41691,16135.91992,16300.04004,16093.79981,16272.65039,16272.65039,662250000
41698,16273.23047,16450.16992,16071.25,16421.89063,16421.89063,460870000
